ID,TEN_TOA_NHA,DIA_CHI,Quan,SL_SEE,TANG,VI_TRI,LINKS
TTS-BA-G1.1,THỦ THIÊM SKY - BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",G1.1,https://notegroup.com.vn/
TTS-BA-G1.2,THỦ THIÊM SKY - BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",G1.2,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
TTS-BA-B1.1,THỦ THIÊM SKY - BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",B1.1,
TTS-BB-G1.1,THỦ THIÊM SKY - BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",G1.1,
TTS-BB-G1.2,THỦ THIÊM SKY - BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",G1.2,
TTS-BB-B1.1,THỦ THIÊM SKY - BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","G,B",B1.1,
2LĐC-G1.1,280 LƯƠNG ĐỊNH CỦA,"280 LƯƠNG ĐỊNH CỦA, AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
2LĐC-B1.1,280 LƯƠNG ĐỊNH CỦA,"280 LƯƠNG ĐỊNH CỦA, AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
4RG-BE-G1.1,4S RIVERSIDE GARDEN - BLOCK E,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",G1.1,
4RG-BE-B1.1,4S RIVERSIDE GARDEN - BLOCK E,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",B1.1,
4RG-BW-G1.1,4S RIVERSIDE GARDEN - BLOCK W,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",G1.1,
4RG-BW-B1.1,4S RIVERSIDE GARDEN - BLOCK W,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",B1.1,
AK-BA-1.1,AN KHANG - BLOCK A,"28-30 ĐƯỜNG 19, KHU PHỐ 5, PHƯỜNG AN PHÚ",THỦ ĐỨC,1,B,1.1,
AK-BB-1.1,AN KHANG - BLOCK B,"28-30 ĐƯỜNG 19, KHU PHỐ 5, PHƯỜNG AN PHÚ",THỦ ĐỨC,1,B,1.1,
ÂCT-BA-G1.1,ÂU CƠ TOWER - BLOCK A,"659 ÂU CƠ, PHƯỜNG TÂN THÀNH, QUẬN TÂN PHÚ",TÂN PHÚ,"1,1","G,B2",G1.1,
ÂCT-BA-B21.1,ÂU CƠ TOWER - BLOCK A,"659 ÂU CƠ, PHƯỜNG TÂN THÀNH, QUẬN TÂN PHÚ",TÂN PHÚ,"1,1","G,B2",B21.1,
ÂCT-BB-G1.1,ÂU CƠ TOWER - BLOCK B,"659 ÂU CƠ, PHƯỜNG TÂN THÀNH, QUẬN TÂN PHÚ",TÂN PHÚ,"1,1","G,B2",G1.1,
ÂCT-BB-B21.1,ÂU CƠ TOWER - BLOCK B,"659 ÂU CƠ, PHƯỜNG TÂN THÀNH, QUẬN TÂN PHÚ",TÂN PHÚ,"1,1","G,B2",B21.1,
BHT-G1.1,BẢY HIỀN TOWER,9 PHẠM PHÚ THỨ,TÂN BÌNH,"1,1","G,B",G1.1,
BHT-B1.1,BẢY HIỀN TOWER,9 PHẠM PHÚ THỨ,TÂN BÌNH,"1,1","G,B",B1.1,
B-G1.1,BMC,"422 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,"1,1","G,B1",G1.1,
B-B11.1,BMC,"422 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,"1,1","G,B1",B11.1,
CỐAC-1.1,CAO ỐC AN CƯ,"8 ĐƯỜNG THÁI THUẬN, KHU AN PHÚ AN KHÁNH, PHƯỜNG AN PHÚ",THỦ ĐỨC,1,1,1.1,
CỐX-BA-1.1,CAO ỐC XANH  - BLOCK A,"114 NAM HOÀ , P PHƯỚC LONG",Q9,1,G,1.1,
CỐX-BB-1.1,CAO ỐC XANH  - BLOCK B,"114 NAM HOÀ , P PHƯỚC LONG",Q9,1,G,1.1,
C1-BF-1.1,CARILLON 1  - BLOCK F,1 TRẦN VĂN DANH P.13,TÂN BÌNH,1,G,1.1,
C1-BM-G1.1,CARILLON 1  - BLOCK M,1 TRẦN VĂN DANH P.13,TÂN BÌNH,2,G,G1.1,
C1-BM-G1.2,CARILLON 1  - BLOCK M,1 TRẦN VĂN DANH P.13,TÂN BÌNH,2,G,G1.2,
CG-BA-G1.1,CENTRAL GARDEN - BLOCK A,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.1,
CG-BA-G1.2,CENTRAL GARDEN - BLOCK A,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.2,
CG-BB-G1.1,CENTRAL GARDEN - BLOCK B,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.1,
CG-BB-G1.2,CENTRAL GARDEN - BLOCK B,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.2,
CG-BC-G1.1,CENTRAL GARDEN - BLOCK C,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.1,
CG-BC-G1.2,CENTRAL GARDEN - BLOCK C,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,2,G,G1.2,
CG-O-G1.1,CENTRAL GARDEN - OB,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,"1,1","G,B",G1.1,
CG-O-B1.1,CENTRAL GARDEN - OB,"328 VÕ VĂN KIỆT, PHƯỜNG CÔ GIANG",Q1,"1,1","G,B",B1.1,
